timestamp,x_uT,y_uT,z_uT
1772487634884,71.43,79.85,-27.55
1772487634923,70.48,80.73,-27.77
1772487634964,69.84,81.88,-27.82
1772487635004,69.45,82.56,-27.85
1772487635045,68.93,83.31,-28.03
1772487635086,68.62,83.75,-28.14
1772487635127,68.43,84.67,-27.87
1772487635169,68.32,85.23,-27.88
1772487635209,68.25,85.56,-27.88
1772487635252,68.14,85.79,-27.80
1772487635292,68.62,85.50,-27.80
1772487635334,68.90,85.32,-27.79
1772487635374,69.04,84.63,-28.04
1772487635416,69.12,84.22,-28.18
1772487635455,69.75,84.12,-28.15
1772487635497,69.33,83.87,-28.25
1772487635537,69.08,83.73,-28.31
1772487635579,69.22,83.60,-28.55
1772487635620,70.43,84.00,-29.59
1772487635660,71.16,84.24,-30.22
1772487635701,75.48,82.60,-32.19
1772487635743,78.07,81.62,-33.37
1772487635785,83.02,75.36,-35.50
1772487635825,87.83,64.18,-36.42
1772487635866,90.72,57.47,-36.97
1772487635907,90.64,47.05,-38.15
1772487635949,89.83,36.11,-39.03
1772487635988,89.34,29.54,-39.55
1772487636030,86.72,21.82,-39.01
1772487636070,85.14,17.19,-38.68
1772487636111,80.86,13.39,-37.06
1772487636155,72.94,10.27,-35.07
1772487636193,68.18,8.40,-33.87
1772487636235,60.17,7.36,-32.13
1772487636276,49.51,7.96,-29.54
1772487636318,43.11,8.33,-27.98
1772487636357,33.02,11.09,-25.33
1772487636400,26.96,12.75,-23.74
1772487636439,15.98,20.47,-19.28
1772487636481,7.36,37.32,-11.74
1772487636521,2.19,47.43,-7.22
1772487636564,7.66,64.85,-2.26
1772487636603,24.80,77.33,-1.01
1772487636645,35.09,84.82,-0.25
1772487636686,52.82,83.49,-3.02
1772487636726,63.46,82.70,-4.68
1772487636769,75.34,70.66,-10.74
1772487636809,82.14,57.65,-15.64
1772487636850,86.22,49.85,-18.59
1772487636891,86.12,40.70,-22.10
1772487636932,83.08,32.55,-25.23
1772487636972,81.25,27.66,-27.11
1772487637016,78.52,22.33,-28.73
1772487637054,76.88,19.13,-29.70
1772487637096,74.70,14.01,-30.77
1772487637136,69.28,7.41,-30.76
1772487637177,66.03,3.45,-30.76
1772487637221,58.73,0.42,-29.45
1772487637259,47.74,0.42,-27.35
1772487637301,41.14,0.42,-26.10
1772487637341,30.74,4.53,-23.43
1772487637383,24.50,7.00,-21.82
1772487637424,15.13,14.80,-18.29
1772487637465,7.50,30.32,-13.03
1772487637506,2.92,39.63,-9.87
1772487637547,5.70,56.82,-6.59
1772487637587,17.96,71.78,-5.93
1772487637629,25.31,80.76,-5.53
1772487637669,40.92,84.70,-6.80
1772487637711,50.29,87.06,-7.56
1772487637752,64.78,80.22,-11.98
1772487637793,73.55,66.92,-18.10
1772487637835,78.81,58.94,-21.77
1772487637874,81.74,48.84,-24.79
1772487637916,82.67,39.03,-27.71
1772487637956,83.22,33.15,-29.45
1772487637999,81.74,25.69,-30.87
1772487638038,80.85,21.22,-31.72
1772487638080,77.41,14.32,-31.54
1772487638120,70.32,7.67,-30.57
1772487638161,66.07,3.68,-29.99
1772487638202,56.83,-0.83,-28.05
1772487638244,42.41,0.65,-24.92
1772487638285,33.76,1.54,-23.05
1772487638326,22.39,8.58,-19.72
1772487638367,15.57,12.81,-17.72
1772487638407,8.38,25.82,-14.16
1772487638451,6.58,43.73,-11.73
1772487638489,5.50,54.47,-10.28
1772487638531,13.87,67.76,-8.67
1772487638574,29.84,75.12,-8.28
1772487638612,39.42,79.53,-8.04
1772487638653,52.55,78.36,-10.06
1772487638695,60.43,77.65,-11.28
1772487638735,68.83,72.51,-14.21
1772487638777,76.85,64.51,-17.11
1772487638818,81.66,59.71,-18.85
1772487638859,84.65,52.35,-21.69
1772487638900,85.51,44.23,-24.46
1772487638941,86.02,39.36,-26.12
1772487638983,85.56,33.53,-27.85
1772487639022,85.29,30.03,-28.88
1772487639064,84.58,23.86,-30.53
1772487639105,81.86,14.81,-31.68
1772487639145,80.23,9.38,-32.37
1772487639186,74.53,3.76,-32.13
1772487639228,66.52,-0.92,-31.37
1772487639269,61.72,-3.73,-30.92
1772487639310,52.65,-5.60,-29.18
1772487639351,47.22,-6.72,-28.13
1772487639391,35.08,-4.41,-25.63
1772487639433,20.63,4.47,-22.08
1772487639473,11.97,9.80,-19.96
1772487639517,5.39,24.08,-17.38
1772487639555,6.13,42.54,-15.87
1772487639596,6.58,53.62,-14.97
1772487639637,15.75,65.69,-14.50
1772487639678,21.26,72.93,-14.22
1772487639719,35.00,77.81,-14.75
1772487639761,51.93,75.91,-16.78
1772487639802,62.09,74.77,-18.00
1772487639843,72.96,66.88,-21.10
1772487639884,80.12,55.42,-24.31
1772487639924,84.42,48.55,-26.23
1772487639966,85.73,38.86,-28.16
1772487640006,86.52,33.05,-29.32
1772487640048,84.26,25.23,-30.50
1772487640088,78.76,16.69,-31.25
1772487640129,75.46,11.56,-31.70
1772487640170,68.76,6.30,-31.53
1772487640211,60.84,1.73,-30.89
1772487640255,56.09,-1.01,-30.50
1772487640294,46.44,-1.60,-28.97
1772487640337,40.65,-1.96,-28.05
1772487640375,28.74,2.70,-24.80
1772487640417,18.80,16.01,-21.38
1772487640457,12.83,23.99,-19.33
1772487640500,12.45,37.98,-17.98
1772487640539,18.18,53.39,-17.29
1772487640582,21.62,62.64,-16.88
1772487640621,33.80,70.70,-16.59
1772487640662,41.10,75.53,-16.42
1772487640703,55.70,74.32,-18.19
1772487640744,69.30,66.65,-21.09
1772487640785,77.46,62.05,-22.83
1772487640827,82.25,52.78,-25.22
1772487640869,83.73,42.16,-27.68
1772487640908,84.63,35.79,-29.15
1772487640950,83.63,27.90,-30.40
1772487640990,83.04,23.16,-31.15
1772487641033,79.59,15.92,-31.52
1772487641072,73.45,8.77,-31.34
1772487641114,69.77,4.49,-31.23
1772487641154,62.94,-0.56,-30.34
1772487641195,51.39,-4.13,-27.52
1772487641237,44.45,-6.28,-25.83
1772487641277,32.48,-1.42,-23.64
1772487641318,25.29,1.50,-22.32
1772487641359,18.51,11.25,-20.79
1772487641401,13.53,25.21,-19.39
1772487641442,10.54,33.58,-18.54
1772487641482,11.58,47.04,-17.26
1772487641523,19.26,60.58,-15.47
1772487641565,23.87,68.70,-14.40
1772487641605,36.27,74.80,-14.00
1772487641647,43.72,78.47,-13.76
1772487641687,57.96,76.41,-15.66
1772487641729,69.89,67.47,-18.88
1772487641769,77.05,62.10,-20.81
1772487641810,82.18,52.96,-22.95
1772487641852,84.31,42.30,-25.25
1772487641892,85.60,35.91,-26.63
1772487641934,83.86,28.01,-28.56
1772487641974,82.81,23.26,-29.72
1772487642017,78.19,16.64,-30.30
1772487642057,71.55,10.66,-30.40
1772487642099,67.57,7.07,-30.46
1772487642138,60.42,3.57,-29.72
1772487642180,49.37,1.77,-27.80
1772487642220,42.74,0.68,-26.65
1772487642261,33.05,4.72,-23.96
1772487642302,27.24,7.15,-22.35
1772487642343,21.02,15.91,-19.95
1772487642384,16.31,29.50,-17.94
1772487642425,13.48,37.65,-16.74
1772487642467,15.57,51.05,-14.38
1772487642507,26.82,65.09,-12.32
1772487642549,33.57,73.51,-11.08
1772487642589,48.53,77.18,-12.74
1772487642630,57.50,79.39,-13.74
1772487642671,69.44,74.13,-15.97
1772487642712,79.65,63.15,-18.74
1772487642753,85.78,56.57,-20.40
1772487642795,88.69,45.60,-22.87
1772487642836,87.09,34.25,-25.41
1772487642876,86.13,27.45,-26.93
1772487642918,82.32,19.95,-28.46
1772487642958,80.04,15.45,-29.37
1772487643002,74.70,10.63,-29.92
1772487643040,66.37,5.20,-29.93
1772487643083,61.37,1.94,-29.93
1772487643122,50.27,1.19,-29.36
1772487643164,36.80,4.34,-28.20
1772487643205,28.72,6.22,-27.50
1772487643245,19.48,15.32,-25.78
1772487643286,13.93,20.78,-24.75
1772487643328,9.54,34.53,-22.37
1772487643368,13.20,54.12,-19.35
1772487643409,15.40,65.87,-17.54
1772487643451,29.38,75.65,-17.27
1772487643491,47.68,75.49,-19.24
1772487643534,58.67,75.39,-20.41
1772487643573,69.48,69.95,-22.59
1772487643616,75.97,66.68,-23.89
1772487643655,84.55,58.76,-25.00
1772487643698,89.34,46.51,-25.99
1772487643737,92.21,39.17,-26.59
1772487643778,89.71,30.36,-27.88
1772487643819,84.87,21.55,-29.56
1772487643860,81.96,16.26,-30.57
1772487643902,76.91,9.63,-31.01
1772487643942,73.88,5.66,-31.27
1772487643984,67.88,1.49,-30.25
1772487644025,57.77,-1.78,-28.69
1772487644066,51.70,-3.74,-27.76
1772487644106,40.43,-0.58,-26.30
1772487644149,31.08,7.53,-25.96
1772487644189,25.47,12.40,-25.75
1772487644231,17.85,23.35,-23.95
1772487644270,13.28,29.93,-22.87
1772487644312,9.78,48.27,-16.51
1772487644352,24.18,68.15,-11.11
1772487644393,32.82,80.08,-7.86
1772487644435,51.24,77.48,-11.96
1772487644476,66.59,69.93,-16.99
1772487644517,75.80,65.40,-20.00
1772487644558,87.90,56.39,-21.61
1772487644599,95.16,50.98,-22.57
1772487644640,97.48,38.83,-24.90
1772487644681,92.44,27.46,-27.73
1772487644722,89.42,20.64,-29.42
1772487644762,82.91,12.81,-30.49
1772487644803,74.10,6.54,-30.59
1772487644845,68.81,2.78,-30.65
1772487644885,60.69,1.33,-30.49
1772487644926,55.82,0.46,-30.39
1772487644968,46.86,2.33,-29.76
1772487645008,35.92,7.53,-28.76
1772487645050,29.36,10.65,-28.17
1772487645090,21.60,18.56,-27.08
