timestamp,x_uT,y_uT,z_uT
1772488190678,-8.74,8.73,17.32
1772488190720,-8.80,8.86,17.26
1772488190760,-9.17,8.26,17.22
1772488190803,-9.39,8.36,16.88
1772488190841,-9.52,8.43,16.67
1772488190883,-9.24,8.25,16.99
1772488190924,-9.06,8.14,17.19
1772488190965,-8.67,7.96,17.27
1772488191006,-8.25,8.00,17.15
1772488191046,-8.00,8.03,17.08
1772488191088,-8.18,7.93,17.16
1772488191129,-8.58,8.17,17.16
1772488191172,-8.82,8.31,17.17
1772488191211,-8.74,8.14,17.21
1772488191253,-8.70,8.04,17.24
1772488191292,-8.81,8.20,17.34
1772488191334,-8.74,7.96,16.95
1772488191374,-8.69,7.82,16.71
1772488191416,-8.81,7.85,16.81
1772488191457,-8.70,7.86,17.00
1772488191498,-8.64,7.87,17.11
1772488191539,-8.20,7.37,17.54
1772488191580,-7.93,7.07,17.80
1772488191622,-7.16,7.03,18.33
1772488191662,-5.38,6.68,17.66
1772488191704,-4.32,6.47,17.26
1772488191744,-1.57,7.58,15.31
1772488191786,1.28,13.01,6.54
1772488191825,2.99,16.27,1.29
1772488191867,3.03,26.04,-13.05
1772488191908,3.06,31.91,-21.66
1772488191949,-1.61,41.97,-38.45
1772488191990,-9.36,53.32,-60.45
1772488192031,-14.01,60.13,-73.64
1772488192072,-18.95,64.22,-166.58
1772488192113,-14.53,61.28,-222.35
1772488192154,-11.88,59.52,-255.80
1772488192194,-2.91,48.47,-164.41
1772488192237,2.48,41.83,-109.57
1772488192277,2.76,30.07,-64.10
1772488192319,-0.45,21.75,-32.57
1772488192358,-2.38,16.75,-13.65
1772488192402,-4.19,13.46,-1.97
1772488192441,-5.53,11.38,5.40
1772488192481,-6.33,10.13,9.82
1772488192523,-6.92,9.38,12.68
1772488192564,-7.28,8.93,14.40
1772488192606,-7.93,9.13,15.59
1772488192646,-8.35,8.42,16.22
1772488192690,-8.61,7.99,16.60
1772488192728,-9.01,7.80,17.08
1772488192769,-9.04,7.91,16.87
1772488192809,-9.06,7.97,16.75
1772488192852,-8.88,7.97,17.08
1772488192891,-8.78,7.97,17.28
1772488192933,-9.12,7.79,17.36
1772488192974,-8.96,7.87,17.65
1772488193015,-8.86,7.91,17.83
1772488193056,-8.77,8.01,17.77
1772488193096,-8.68,7.74,17.98
1772488193139,-8.62,7.58,18.11
1772488193179,-8.66,7.67,17.86
1772488193220,-8.68,7.72,17.71
1772488193260,-8.37,7.93,17.86
1772488193302,-8.54,7.81,17.95
1772488193343,-8.65,7.73,18.01
