timestamp,x_uT,y_uT,z_uT
1772487170762,44.76,-23.72,69.91
1772487170802,44.56,-23.29,71.01
1772487170844,44.45,-23.03,71.66
1772487170884,44.38,-22.84,72.22
1772487170925,44.37,-22.76,71.54
1772487170965,44.37,-22.71,71.13
1772487171007,44.44,-22.90,71.25
1772487171049,44.48,-23.16,69.44
1772487171089,44.22,-23.32,68.36
1772487171131,44.86,-23.23,69.91
1772487171171,45.24,-23.17,70.84
1772487171212,45.55,-23.03,70.63
1772487171253,45.51,-22.98,70.54
1772487171295,45.48,-22.95,70.49
1772487171334,45.51,-23.01,70.13
1772487171377,45.53,-23.30,69.83
1772487171421,45.21,-23.47,69.66
1772487171459,45.12,-23.50,69.55
1772487171499,45.07,-23.52,69.49
1772487171540,44.82,-23.24,69.77
1772487171581,44.39,-23.29,70.43
1772487171623,44.12,-23.32,70.83
1772487171664,44.73,-23.26,70.50
1772487171704,45.09,-23.23,70.30
1772487171745,45.31,-23.21,70.18
1772487171786,45.04,-23.13,70.84
1772487171828,44.88,-23.08,71.24
1772487171868,45.04,-23.23,70.79
1772487171909,44.73,-23.32,70.55
1772487171951,44.55,-23.37,70.41
1772487171991,44.84,-23.62,70.37
1772487172032,45.01,-23.77,70.35
1772487172073,45.11,-23.86,70.33
1772487172114,45.03,-23.85,69.83
1772487172154,44.98,-23.84,69.53
1772487172197,44.59,-23.68,70.90
1772487172236,44.79,-23.52,71.97
1772487172280,44.91,-23.42,72.61
1772487172319,44.62,-23.43,72.46
1772487172360,44.44,-23.44,72.37
1772487172401,44.34,-23.44,72.32
1772487172442,44.24,-23.49,72.50
1772487172482,44.18,-23.51,72.60
1772487172524,44.44,-23.45,71.84
1772487172565,45.03,-23.60,71.07
1772487172607,45.38,-23.69,70.60
1772487172648,45.01,-23.74,71.58
1772487172688,44.78,-23.77,72.17
1772487172730,44.69,-24.48,73.22
1772487172770,44.05,-25.20,74.30
1772487172812,43.67,-25.63,74.95
1772487172852,43.51,-26.98,76.56
1772487172894,43.08,-28.81,77.49
1772487172933,42.83,-29.90,78.05
1772487172975,41.99,-31.40,82.75
1772487173016,41.49,-32.29,85.57
1772487173057,41.07,-33.81,88.40
1772487173098,40.17,-36.76,94.30
1772487173139,39.63,-38.53,97.85
1772487173182,38.58,-42.75,105.73
1772487173221,37.62,-49.83,118.78
1772487173264,37.04,-54.08,126.62
1772487173304,37.28,-63.43,143.64
1772487173345,37.43,-69.04,153.86
1772487173384,38.71,-85.57,-74.87
1772487173427,44.86,-118.61,-212.11
1772487173466,48.55,-138.44,-294.45
1772487173508,65.75,-232.01,-343.85
1772487173549,102.43,-288.15,-373.50
1772487173590,124.44,-321.83,-391.28
1772487173631,-74.28,-342.04,-274.16
1772487173672,-193.51,-354.17,-203.88
1772487173714,-265.05,-361.45,-153.55
1772487173754,-181.32,-217.70,-113.07
1772487173795,-131.09,-131.46,-88.78
1772487173836,-96.40,-79.93,-64.90
1772487173877,-70.38,-50.03,-48.74
1772487173917,-54.77,-32.09,-39.04
1772487173959,-45.59,-17.47,-30.24
1772487173999,-40.08,-8.70,-24.96
1772487174041,-31.47,-5.00,-15.96
1772487174083,-19.50,-1.77,-10.11
1772487174123,-12.32,0.18,-6.60
1772487174165,-10.23,3.60,-4.08
1772487174205,-6.83,1.90,-3.06
1772487174247,-4.79,0.89,-2.45
1772487174287,-3.64,3.99,-2.04
1772487174329,-2.95,5.85,-1.80
1772487174369,-3.95,4.82,-1.85
1772487174410,-8.26,1.43,-2.83
1772487174451,-10.85,-0.60,-3.41
1772487174492,-18.37,-0.76,-5.07
1772487174533,-26.66,-1.07,-6.30
1772487174574,-31.63,-1.26,-7.05
1772487174616,-35.41,-3.49,-4.19
1772487174656,-37.68,-4.82,-2.47
1772487174699,-41.12,-3.33,-3.44
1772487174740,-41.69,-3.56,-2.80
1772487174781,-42.03,-3.70,-2.42
1772487174822,-43.69,-6.73,-6.63
1772487174862,-47.60,-7.60,-7.37
1772487174902,-49.94,-8.12,-7.81
1772487174944,-50.51,-7.09,-8.73
1772487174983,-50.85,-6.48,-9.28
1772487175025,-51.09,-5.38,-11.73
1772487175066,-52.40,-4.97,-14.71
1772487175107,-53.18,-4.73,-16.50
1772487175148,-53.33,-3.74,-15.12
1772487175189,-53.96,-3.12,-13.20
1772487175231,-54.34,-2.74,-12.04
1772487175271,-53.30,-1.72,-15.43
1772487175313,-52.67,-1.10,-17.46
1772487175353,-54.15,-1.68,-14.40
1772487175395,-53.72,-1.66,-14.39
1772487175434,-53.47,-1.65,-14.39
1772487175477,-53.57,-1.90,-11.82
1772487175517,-55.64,-1.28,-14.89
1772487175558,-56.87,-0.91,-16.73
1772487175599,-56.02,-0.37,-18.61
1772487175640,-55.50,-0.04,-19.74
1772487175682,-57.34,0.12,-26.21
1772487175723,-57.49,0.80,-31.07
1772487175765,-57.59,1.21,-33.99
1772487175804,-57.97,1.12,-35.42
1772487175848,-58.71,1.25,-39.78
1772487175886,-59.16,1.33,-42.40
1772487175928,-58.87,2.91,-46.38
1772487175967,-58.70,3.85,-48.77
1772487176009,-56.71,2.89,-51.75
1772487176049,-58.90,3.73,-49.01
1772487176091,-60.21,4.24,-47.37
1772487176132,-58.42,4.58,-46.50
1772487176173,-58.87,5.26,-43.29
1772487176214,-59.14,5.66,-41.36
1772487176255,-60.51,6.16,-42.94
