timestamp,x_uT,y_uT,z_uT
1772487288678,38.88,-43.13,49.22
1772487288718,39.07,-43.01,48.10
1772487288759,39.15,-42.64,47.31
1772487288800,39.20,-42.42,46.83
1772487288842,39.45,-42.36,46.55
1772487288884,39.60,-42.32,46.38
1772487288924,39.83,-42.63,46.97
1772487288966,40.19,-42.85,46.83
1772487289005,40.41,-42.98,46.75
1772487289049,40.39,-42.77,46.83
1772487289087,40.12,-42.53,46.87
1772487289130,39.97,-42.39,46.90
1772487289168,39.94,-42.86,46.71
1772487289211,39.93,-43.13,46.60
1772487289250,40.18,-42.86,46.70
1772487289292,39.93,-42.55,46.22
1772487289333,39.78,-42.37,45.94
1772487289375,40.09,-42.36,46.42
1772487289416,40.09,-42.29,46.54
1772487289456,40.09,-42.25,46.62
1772487289499,39.87,-42.55,46.99
1772487289538,39.74,-42.73,47.21
1772487289580,40.17,-42.62,47.22
1772487289620,40.61,-42.26,47.56
1772487289662,40.88,-42.05,47.76
1772487289702,40.38,-42.43,48.04
1772487289743,40.48,-42.15,47.97
1772487289785,40.55,-41.98,47.93
1772487289825,40.18,-41.81,48.22
1772487289866,39.97,-41.71,48.40
1772487289908,40.49,-42.44,48.51
1772487289949,40.51,-42.09,48.21
1772487289989,40.53,-41.87,48.03
1772487290031,40.61,-41.89,48.25
1772487290071,40.37,-41.64,48.17
1772487290113,40.22,-41.49,48.13
1772487290153,40.39,-41.26,48.14
1772487290194,40.49,-41.12,48.15
1772487290235,40.47,-41.40,48.07
1772487290276,40.65,-41.50,48.11
1772487290317,40.75,-41.55,48.13
1772487290358,40.34,-41.51,48.35
1772487290399,40.21,-41.60,48.27
1772487290440,40.12,-41.65,48.23
1772487290482,40.22,-41.79,48.53
1772487290522,40.27,-41.87,48.71
1772487290565,39.98,-41.74,48.65
1772487290604,40.17,-41.92,48.38
1772487290646,40.28,-42.02,48.21
1772487290686,40.53,-41.54,48.15
1772487290728,41.16,-40.67,48.44
1772487290767,41.53,-40.15,48.62
1772487290810,41.61,-40.60,48.56
1772487290849,41.66,-40.87,48.52
1772487290891,40.85,-41.83,48.75
1772487290933,39.85,-43.60,49.00
1772487290973,39.26,-44.67,49.16
1772487291015,36.65,-50.22,49.62
1772487291055,29.70,-66.97,51.12
1772487291098,25.53,-77.02,52.02
1772487291137,11.06,-115.81,55.70
1772487291179,2.38,-139.09,57.91
1772487291219,-26.10,-232.40,41.48
1772487291261,-56.17,-288.38,-142.30
1772487291300,-74.21,-321.97,-252.56
1772487291342,-90.56,-342.13,-318.72
1772487291383,-100.37,-202.48,-358.42
1772487291425,-68.52,-118.69,-382.23
1772487291465,-31.44,-69.58,-250.89
1772487291506,-9.19,-40.11,-172.09
1772487291548,10.16,-25.52,-104.03
1772487291588,23.84,-18.29,-54.05
1772487291631,32.05,-13.96,-24.06
1772487291670,37.88,-12.59,-0.84
1772487291712,41.39,-12.46,15.74
1772487291752,43.67,-12.39,25.69
1772487291793,45.91,-12.63,33.00
1772487291834,47.25,-12.78,37.39
1772487291875,48.02,-12.90,41.21
1772487291916,48.34,-13.34,43.50
1772487291957,48.53,-13.61,44.88
1772487291999,48.21,-13.62,45.21
1772487292039,48.02,-13.92,45.41
1772487292081,48.56,-14.09,44.88
1772487292122,48.55,-14.06,44.97
1772487292164,48.55,-14.03,45.02
1772487292203,48.91,-13.76,45.18
1772487292245,49.05,-13.71,45.07
1772487292285,49.14,-13.68,45.00
1772487292326,48.86,-13.74,44.72
1772487292368,48.70,-13.77,44.55
1772487292408,48.60,-13.79,44.44
1772487292450,48.98,-13.98,44.42
1772487292490,49.21,-14.10,44.41
1772487292532,49.20,-14.35,44.16
1772487292572,48.90,-14.50,44.41
1772487292616,48.72,-14.59,44.57
1772487292655,49.16,-14.86,44.46
1772487292696,49.42,-15.03,44.39
1772487292736,49.00,-15.02,44.06
1772487292780,49.29,-15.27,44.19
1772487292818,49.47,-15.42,44.27
1772487292859,49.42,-15.14,44.03
1772487292900,49.11,-15.56,43.73
1772487292941,48.92,-15.81,43.54
