timestamp,x_uT,y_uT,z_uT
1772487741319,82.50,47.45,-225.27
1772487741358,65.27,58.67,-205.67
1772487741400,56.28,68.68,-198.35
1772487741440,50.88,74.69,-193.96
1772487741482,70.59,75.56,-301.66
1772487741524,82.41,76.09,-366.27
1772487741564,93.80,48.29,-405.04
1772487741604,92.56,37.87,-332.35
1772487741645,91.81,31.62,-288.73
1772487741686,78.93,47.68,-256.02
1772487741727,62.26,60.41,-223.99
1772487741769,52.25,68.05,-204.78
1772487741809,56.10,84.05,-215.98
1772487741851,58.41,93.65,-222.70
1772487741892,78.09,59.96,-228.29
1772487741933,82.84,39.41,-222.46
1772487741973,85.69,27.09,-218.96
1772487742015,81.69,46.45,-224.86
1772487742055,63.04,58.11,-203.62
1772487742096,51.85,65.10,-190.88
1772487742137,45.09,65.52,-181.11
1772487742178,41.04,65.77,-175.25
1772487742219,45.16,77.59,-188.23
1772487742260,70.35,61.09,-298.21
1772487742301,85.47,51.18,-364.21
1772487742343,87.31,35.39,-303.27
1772487742384,86.73,35.73,-273.20
1772487742425,86.39,35.93,-255.16
1772487742465,69.86,53.36,-229.68
1772487742506,59.94,63.82,-214.39
1772487742548,48.97,66.49,-195.14
1772487742589,50.90,81.92,-205.59
1772487742629,52.05,91.17,-211.85
1772487742671,74.05,67.34,-312.39
1772487742712,81.11,47.84,-277.53
1772487742753,85.34,36.14,-256.61
1772487742793,84.87,42.98,-249.29
1772487742835,84.58,47.08,-244.89
1772487742876,67.25,63.40,-223.56
1772487742916,52.59,63.88,-197.90
1772487742957,43.80,64.17,-182.51
1772487742999,40.30,75.32,-183.15
1772487743039,61.26,67.94,-295.17
1772487743081,73.83,63.52,-362.38
1772487743122,77.89,44.50,-301.56
1772487743162,80.32,33.08,-265.07
1772487743204,81.78,32.05,-248.08
1772487743244,72.40,52.82,-235.96
1772487743285,66.78,65.28,-228.69
1772487743326,52.82,66.42,-203.27
1772487743368,44.22,65.29,-185.93
1772487743408,39.07,64.61,-175.53
1772487743449,46.56,82.28,-197.66
1772487743490,51.05,92.88,-210.93
1772487743532,69.82,65.17,-220.90
1772487743572,74.24,46.29,-215.41
1772487743614,76.89,34.96,-212.12
1772487743655,77.25,41.33,-217.53
1772487743695,62.09,56.93,-203.06
1772487743736,52.99,66.29,-194.38
1772487743778,44.76,64.67,-180.76
1772487743819,39.83,63.69,-172.59
1772487743860,42.03,75.84,-183.61
1772487743901,62.73,59.34,-203.89
1772487743941,75.15,49.44,-216.06
1772487743982,78.68,37.29,-212.96
1772487744023,80.58,36.69,-216.40
1772487744065,81.72,36.33,-218.47
1772487744105,70.51,51.45,-210.60
1772487744146,63.78,60.53,-205.89
1772487744189,52.15,59.18,-188.44
1772487744228,45.17,56.07,-175.73
1772487744269,40.98,54.21,-168.11
1772487744310,42.50,68.29,-177.24
1772487744352,62.14,45.58,-191.38
1772487744392,73.93,31.95,-199.86
1772487744434,72.60,22.39,-191.53
1772487744476,71.80,16.66,-186.52
1772487744518,77.94,16.38,-195.07
1772487744556,70.39,43.12,-200.48
1772487744597,65.85,59.17,-203.73
1772487744638,53.14,58.50,-185.32
1772487744679,45.07,55.16,-173.20
1772487744720,40.23,53.15,-165.94
1772487744761,41.07,72.09,-177.45
1772487744802,41.58,83.46,-184.36
1772487744844,67.88,67.26,-295.90
1772487744884,74.93,49.22,-362.82
1772487744925,79.17,38.39,-402.97
1772487744968,77.49,44.40,-331.23
1772487745008,60.15,55.32,-266.99
1772487745048,49.75,61.87,-228.46
1772487745090,44.13,54.12,-198.64
1772487745131,40.76,49.48,-180.75
1772487745171,37.97,48.69,-169.65
1772487745213,38.52,70.51,-178.99
1772487745253,38.84,83.60,-184.59
1772487745294,69.66,61.93,-296.03
1772487745336,77.78,43.18,-362.90
1772487745376,82.65,31.93,-403.02
1772487745417,80.56,45.69,-337.62
1772487745458,79.31,53.94,-298.38
1772487745500,59.64,63.19,-246.88
1772487745540,48.86,57.10,-209.61
1772487745582,42.40,53.45,-187.25
1772487745622,38.81,50.78,-173.51
1772487745664,34.18,64.20,-170.12
1772487745704,31.41,72.25,-168.09
1772487745745,59.20,72.83,-286.13
1772487745787,75.87,73.18,-356.96
1772487745827,75.80,48.58,-399.45
1772487745869,71.79,35.54,-313.52
1772487745910,69.39,27.71,-261.97
1772487745950,68.17,23.92,-232.83
1772487745991,66.92,25.97,-217.75
1772487746033,66.18,27.21,-208.71
1772487746076,59.18,36.42,-198.58
1772487746114,54.99,41.95,-192.51
1772487746155,49.27,45.70,-182.66
1772487746196,44.31,50.68,-176.80
1772487746237,41.34,53.66,-173.28
