timestamp,x_uT,y_uT,z_uT
1772488003186,-153.28,-357.66,-27.45
1772488003225,-157.09,-357.66,-23.32
1772488003268,-162.40,-357.66,-19.00
1772488003308,-165.58,-357.66,-16.41
1772488003349,-166.62,-357.66,-25.22
1772488003389,-167.24,-357.66,-30.51
1772488003431,-166.71,-357.66,-32.82
1772488003473,-165.65,-357.66,-34.46
1772488003513,-165.02,-357.66,-35.44
1772488003555,-163.70,-357.66,-36.15
1772488003595,-161.82,-357.66,-37.10
1772488003636,-160.69,-357.66,-37.68
1772488003677,-161.53,-357.66,-28.60
1772488003718,-162.04,-357.66,-23.15
1772488003758,-162.10,-357.66,-22.41
1772488003800,-166.75,-357.66,-21.76
1772488003841,-169.53,-357.66,-21.37
1772488003882,-173.61,-357.66,-30.98
1772488003923,-175.00,-357.66,-36.90
1772488003964,-175.83,-357.66,-40.46
1772488004004,-179.89,-357.66,-31.65
1772488004045,-182.33,-357.66,-26.37
1772488004087,-273.39,-357.66,-20.99
1772488004128,-328.03,-357.66,-15.40
1772488004170,-360.81,-357.66,-12.04
1772488004211,-380.48,-357.66,-129.62
1772488004252,-392.29,-357.66,-200.17
1772488004292,-399.37,-357.66,-242.50
1772488004334,-403.62,-211.84,-267.89
1772488004373,-406.16,-124.35,-283.13
1772488004414,-407.69,-53.89,-292.28
1772488004455,-408.61,-175.40,-297.76
1772488004498,-409.16,-248.30,-301.05
1772488004539,-409.49,-292.04,-136.62
1772488004579,-409.69,-318.29,-47.76
1772488004620,-409.81,-334.03,5.56
1772488004661,-409.88,-343.48,38.94
1772488004703,-409.92,-349.15,58.97
1772488004742,-409.95,-352.55,57.39
1772488004784,-409.97,-354.59,28.65
1772488004825,-409.97,-355.82,11.41
1772488004866,-409.98,-356.55,-115.55
1772488004906,-409.98,-356.99,-191.73
1772488004947,-409.99,-357.26,-237.43
1772488004989,-409.99,-357.42,-264.86
1772488005030,-409.99,-357.51,-281.31
1772488005071,-409.99,-357.57,-291.18
1772488005111,-409.99,-357.60,-297.11
1772488005154,-409.99,-357.62,-300.66
1772488005193,-409.99,-357.64,-302.79
1772488005235,-409.99,-357.64,-304.07
1772488005276,-409.99,-357.65,-304.84
1772488005317,-409.99,-357.65,-305.30
1772488005357,-409.99,-357.65,-305.58
1772488005400,-409.99,-357.65,-305.74
1772488005439,-409.99,-357.65,-305.84
1772488005480,-409.99,-357.66,-305.90
1772488005521,-409.99,-357.66,-305.94
1772488005563,-409.99,-357.66,-305.96
1772488005607,-409.99,-357.66,-305.97
1772488005644,-409.99,-357.66,-305.98
1772488005687,-409.99,-357.66,-305.98
1772488005726,-409.99,-357.66,-305.99
1772488005770,-409.99,-357.66,-305.99
1772488005809,-409.99,-357.66,-305.99
1772488005851,-409.99,-357.66,-305.99
1772488005890,-409.99,-357.66,-305.99
1772488005933,-409.99,-357.66,-305.99
1772488005973,-409.99,-357.66,-305.99
1772488006013,-409.99,-357.66,-305.99
1772488006055,-409.99,-357.66,-305.99
1772488006096,-409.99,-357.66,-305.99
1772488006138,-409.99,-357.66,-305.99
1772488006177,-409.99,-357.66,-305.99
1772488006220,-409.99,-357.66,-305.99
1772488006260,-409.99,-357.66,-305.99
1772488006301,-409.99,-357.66,-305.99
1772488006341,-409.99,-357.66,-305.99
1772488006383,-409.99,-357.66,-305.99
1772488006423,-409.99,-357.66,-305.99
1772488006465,-409.99,-357.66,-305.99
1772488006506,-409.99,-357.66,-305.99
1772488006549,-409.99,-357.66,-305.99
1772488006588,-409.99,-357.66,-305.99
1772488006629,-409.99,-357.66,-305.99
1772488006671,-409.99,-357.66,-305.99
1772488006710,-409.99,-357.66,-305.99
1772488006754,-409.99,-357.66,-305.99
1772488006793,-409.99,-357.66,-305.99
1772488006836,-409.99,-357.66,-305.99
1772488006875,-409.99,-357.66,-305.99
1772488006916,-409.99,-357.66,-305.99
1772488006956,-409.99,-357.66,-305.99
1772488006997,-409.99,-357.66,-305.99
1772488007039,-409.99,-357.66,-305.99
1772488007080,-409.99,-357.66,-305.99
1772488007120,-409.99,-357.66,-305.99
1772488007162,-409.99,-357.66,-305.99
1772488007203,-409.99,-357.66,-305.99
1772488007244,-409.99,-357.66,-305.99
1772488007286,-409.99,-357.66,-305.99
1772488007326,-409.99,-357.66,-305.99
1772488007367,-409.99,-357.66,-305.99
1772488007407,-409.99,-357.66,-305.99
1772488007450,-409.99,-357.66,-305.99
1772488007491,-409.99,-357.66,-305.99
1772488007530,-409.99,-357.66,-305.99
1772488007571,-409.99,-357.66,-305.99
1772488007612,-409.99,-357.66,-305.99
