timestamp,x_uT,y_uT,z_uT
1772488242543,-66.66,-62.68,-305.99
1772488242584,-68.03,-63.80,-305.99
1772488242624,-68.85,-64.47,-305.99
1772488242666,-69.52,-66.36,-305.99
1772488242707,-68.95,-66.34,-305.99
1772488242747,-68.60,-66.32,-305.99
1772488242789,-69.01,-65.87,-305.99
1772488242829,-70.49,-66.55,-305.99
1772488242871,-71.38,-66.96,-305.99
1772488242912,-71.81,-66.76,-305.99
1772488242954,-72.06,-66.65,-305.99
1772488242994,-71.63,-65.27,-305.99
1772488243035,-70.40,-63.17,-305.99
1772488243075,-69.65,-61.91,-305.99
1772488243116,-69.13,-60.54,-305.99
1772488243157,-69.04,-58.30,-305.99
1772488243199,-68.98,-56.95,-305.99
1772488243241,-79.42,-47.78,-305.99
1772488243281,-85.68,-42.28,-305.99
1772488243323,-87.81,-45.05,-305.99
1772488243363,-92.39,-73.66,-171.75
1772488243405,-95.14,-90.82,-91.20
1772488243445,-68.76,-92.87,-71.65
1772488243487,-33.98,-76.35,-72.85
1772488243527,-13.11,-66.43,-73.58
1772488243568,-7.75,-38.71,-166.54
1772488243608,-4.54,-22.07,-222.32
1772488243649,-44.28,-2.12,-255.79
1772488243691,-57.76,-9.46,-147.42
1772488243732,-65.85,-13.87,-82.40
1772488243776,-69.76,-30.18,-32.78
1772488243813,-68.69,-49.17,-20.39
1772488243855,-68.05,-60.57,-12.96
1772488243895,-40.64,-57.29,-30.70
1772488243938,-24.20,-55.33,-41.35
1772488243977,-2.66,-42.70,-59.78
1772488244019,-25.74,-18.68,-158.26
1772488244060,-39.59,-4.27,-217.35
1772488244101,-61.64,-15.34,-252.81
1772488244141,-71.56,-37.43,-144.41
1772488244183,-77.52,-50.68,-79.37
1772488244224,-61.56,-59.29,-59.41
1772488244264,-51.99,-64.46,-47.43
1772488244306,-25.70,-57.92,-54.24
1772488244347,-16.91,-33.01,-154.94
1772488244389,-11.63,-18.07,-215.36
1772488244429,-44.87,-11.14,-251.61
1772488244470,-52.59,-21.82,-137.36
1772488244510,-57.23,-28.23,-68.81
1772488244552,-63.68,-47.24,-28.87
1772488244592,-67.55,-58.64,-4.90
1772488244634,-46.75,-62.39,-16.07
1772488244674,-20.84,-51.38,-38.53
1772488244716,-5.30,-44.76,-52.00
1772488244757,-19.10,-24.90,-153.60
1772488244798,-45.28,-24.77,-214.55
1772488244840,-60.98,-24.69,-251.13
1772488244880,-62.80,-40.79,-149.48
1772488244922,-63.90,-50.45,-88.49
1772488244962,-52.88,-67.08,-53.78
1772488245003,-31.11,-58.99,-54.21
1772488245044,-18.04,-54.13,-54.48
1772488245085,-8.64,-37.98,-65.29
1772488245128,-14.64,-17.74,-65.61
1772488245169,-18.23,-5.60,-65.80
1772488245208,-33.30,-6.68,-55.02
1772488245250,-42.34,-7.32,-48.55
1772488245290,-44.63,-28.69,-53.90
1772488245331,-21.43,-43.88,-50.12
1772488245372,-7.51,-52.99,-47.86
1772488245412,-0.76,-42.02,-52.37
1772488245454,-2.56,-27.26,-68.92
1772488245495,-3.64,-18.40,-78.85
1772488245538,-36.62,-18.69,-77.79
1772488245577,-56.40,-18.86,-77.15
1772488245618,-74.16,-44.34,-51.22
1772488245658,-63.19,-65.34,-48.63
1772488245699,-56.60,-77.94,-47.08
1772488245742,-29.63,-68.34,-48.89
1772488245784,-2.14,-52.43,-59.49
1772488245823,14.36,-42.88,-65.84
1772488245864,-11.27,-21.16,-161.90
1772488245905,-26.65,-8.12,-219.54
1772488245945,-46.35,-14.92,-254.12
1772488245987,-51.99,-38.31,-146.54
1772488246027,-55.37,-52.34,-81.99
1772488246070,-43.95,-76.06,-56.94
1772488246110,-18.48,-62.41,-60.56
1772488246150,-3.19,-54.22,-62.73
1772488246191,6.05,-30.94,-70.81
1772488246234,11.60,-16.98,-75.66
1772488246273,-23.29,-7.65,-70.00
1772488246315,-44.88,-22.42,-34.84
1772488246356,-57.84,-31.28,-13.75
1772488246397,-54.41,-57.32,-30.77
1772488246439,-26.97,-46.15,-40.65
1772488246479,-10.50,-39.44,-46.58
1772488246521,-3.35,-18.91,-54.31
1772488246561,0.94,-6.59,-58.94
1772488246602,-27.11,1.82,-62.37
1772488246643,-59.79,-28.23,-33.94
1772488246684,-79.40,-46.25,-16.89
1772488246724,-64.18,-69.18,-27.42
1772488246766,-31.56,-57.12,-33.26
1772488246807,-11.99,-49.88,-36.76
1772488246848,3.21,-29.97,-50.78
1772488246893,12.33,-18.03,-59.19
1772488246930,-21.76,-1.01,-73.62
1772488246972,-57.38,-20.54,-47.26
1772488247012,-78.75,-32.26,-31.45
1772488247054,-89.50,-66.28,-9.34
1772488247093,-66.79,-87.81,-4.53
1772488247135,-53.16,-100.73,-1.65
1772488247175,-22.33,-84.74,-24.33
1772488247216,-3.83,-75.14,-37.93
1772488247257,5.20,-40.30,-56.83
1772488247299,-23.97,-12.80,-63.88
1772488247340,-41.47,3.69,-68.11
1772488247381,-67.10,-11.47,-50.12
