timestamp,x_uT,y_uT,z_uT
1772487847876,-4.47,8.03,-8.78
1772487847919,-4.86,8.30,-5.21
1772487847959,-4.88,8.64,-3.44
1772487848001,-4.89,8.85,-2.38
1772487848041,-5.44,9.12,-1.58
1772487848083,-5.77,9.28,-1.10
1772487848122,-5.57,9.16,-1.02
1772487848163,-5.70,9.20,-1.82
1772487848205,-5.78,9.22,-2.31
1772487848245,-5.10,9.52,-3.86
1772487848287,-2.84,11.49,-9.24
1772487848327,-1.48,12.67,-12.47
1772487848369,3.77,30.57,-44.98
1772487848410,6.92,41.32,-64.48
1772487848452,-18.32,-118.27,-161.09
1772487848491,-42.52,-214.03,-219.05
1772487848533,-57.03,-271.48,-253.82
1772487848573,-33.23,-305.95,-274.69
1772487848615,-20.96,-172.31,-287.21
1772487848655,-13.59,-92.12,-294.72
1772487848696,-9.64,-49.65,-180.53
1772487848737,-7.27,-24.16,-112.02
1772487848778,-6.65,-10.18,-68.46
1772487848820,-6.02,-2.26,-41.68
1772487848860,-5.64,2.49,-25.61
1772487848902,-5.24,5.34,-15.56
1772487848944,-4.89,6.98,-9.57
1772487848984,-4.67,7.96,-5.97
1772487849024,-5.31,8.22,-3.49
1772487849068,-5.69,8.38,-2.00
1772487849106,-5.70,8.44,-1.10
1772487849147,-5.35,8.80,-1.47
1772487849188,-5.13,9.02,-1.68
1772487849229,-5.22,9.29,-2.02
1772487849270,-4.95,9.75,-3.48
1772487849311,-4.78,10.02,-4.36
1772487849354,-4.07,11.64,-7.30
1772487849395,-3.63,12.61,-9.06
1772487849435,-1.60,19.41,-21.79
1772487849476,2.57,61.60,-135.47
1772487849518,5.07,86.91,-203.68
1772487849558,-0.92,-90.91,-244.60
1772487849599,-1.31,-197.61,-269.16
1772487849639,-1.54,-261.63,-283.89
1772487849681,1.26,-139.82,-292.73
1772487849721,2.94,-66.74,-298.03
1772487849763,0.97,-34.82,-185.99
1772487849803,-1.13,-16.72,-114.32
1772487849844,-2.38,-5.86,-71.32
1772487849886,-3.43,0.26,-43.51
1772487849926,-4.13,3.71,-26.83
1772487849968,-4.55,5.78,-16.82
1772487850008,-5.34,7.31,-10.61
1772487850050,-5.82,8.23,-6.89
1772487850090,-5.38,8.57,-4.61
1772487850133,-5.55,8.59,-2.79
1772487850173,-5.65,8.60,-1.70
1772487850213,-5.61,8.60,-1.91
1772487850254,-5.22,8.72,-1.74
1772487850296,-4.98,8.78,-1.65
1772487850336,-5.02,9.19,-2.85
1772487850377,-5.04,9.43,-3.58
1772487850419,-4.88,10.30,-5.28
1772487850460,-4.16,12.46,-10.38
1772487850503,-3.73,13.76,-13.44
1772487850541,-4.27,21.19,-28.91
1772487850584,-18.63,60.63,-139.74
1772487850624,-27.25,84.30,-206.24
1772487850665,-180.35,-92.48,-246.14
1772487850705,-272.20,-198.55,-270.08
1772487850746,-327.32,-262.19,-284.44
1772487850788,-360.39,-300.38,-293.06
1772487850828,-380.23,-323.29,-298.23
1772487850870,-227.95,-185.00,-301.34
1772487850911,-138.00,-106.25,-187.61
1772487850952,-84.03,-58.99,-119.37
1772487850992,-52.09,-31.62,-73.69
1772487851034,-32.93,-15.20,-46.28
1772487851075,-21.93,-5.46,-28.57
1772487851117,-15.45,0.31,-17.66
1772487851156,-11.56,3.78,-11.12
1772487851198,-9.11,5.60,-7.03
1772487851239,-8.23,6.66,-4.41
1772487851280,-7.70,7.30,-2.84
1772487851321,-7.20,7.83,-2.38
1772487851362,-6.90,8.14,-2.11
1772487851403,-6.46,8.47,-1.83
1772487851443,-6.13,8.79,-2.02
1772487851485,-5.93,8.97,-2.14
1772487851525,-6.03,9.37,-3.19
1772487851567,-4.63,10.01,-6.47
1772487851608,-3.79,10.40,-8.44
1772487851649,-2.02,14.85,-20.73
1772487851690,-0.96,17.52,-28.10
1772487851730,-0.50,68.43,-139.25
1772487851772,-15.35,45.05,-205.95
1772487851813,-24.26,31.02,-245.96
1772487851854,-29.39,17.29,-66.71
1772487851894,-11.08,49.39,-162.42
1772487851936,-0.10,68.64,-219.85
1772487851977,-0.28,47.29,-254.31
1772487852018,-0.38,34.47,-274.98
1772487852059,-2.37,25.07,-166.28
1772487852101,-3.57,18.45,-100.08
1772487852140,-4.28,14.48,-60.37
1772487852183,-4.49,12.46,-36.04
1772487852222,-5.31,10.49,-21.61
1772487852263,-5.80,9.30,-12.96
1772487852304,-5.33,9.17,-7.56
1772487852345,-5.05,9.09,-4.32
1772487852386,-4.81,8.87,-2.42
1772487852427,-5.39,8.87,-1.56
1772487852469,-5.74,8.88,-1.04
1772487852509,-6.06,8.30,-0.78
1772487852551,-5.96,8.32,-0.05
1772487852591,-5.90,8.33,0.39
1772487852633,-5.79,8.55,0.29
1772487852673,-5.73,8.68,0.22
1772487852714,-5.69,8.62,0.03
