timestamp,x_uT,y_uT,z_uT
1772488159600,20.45,6.14,-305.99
1772488159640,20.71,6.43,-305.99
1772488159682,20.87,6.61,-305.99
1772488159723,20.71,6.03,-305.99
1772488159764,21.04,4.92,-305.99
1772488159806,21.25,4.25,-305.99
1772488159846,21.12,4.03,-305.99
1772488159889,21.04,3.90,-305.99
1772488159928,18.99,6.62,-305.99
1772488159970,-6.82,1.64,-305.99
1772488160009,-22.31,-1.36,-305.99
1772488160051,-3.71,-49.80,-305.99
1772488160092,-166.22,-19.24,-305.99
1772488160133,-263.73,-0.90,-305.99
1772488160174,-322.23,-28.18,-117.99
1772488160215,-357.33,-44.56,-5.19
1772488160255,-193.09,-22.60,-3.10
1772488160297,-125.05,4.65,-8.87
1772488160339,-84.22,21.00,-12.33
1772488160379,-70.61,19.86,-14.89
1772488160421,-53.41,-10.96,-39.78
1772488160461,-43.10,-29.46,-54.71
1772488160502,13.05,-15.97,15.10
1772488160543,46.74,-7.88,56.99
1772488160585,38.85,-19.07,78.54
1772488160625,37.93,0.04,42.19
1772488160666,37.38,11.51,20.39
1772488160706,12.68,21.73,5.30
1772488160748,-12.10,17.54,-6.93
1772488160790,-26.97,15.03,-14.26
1772488160830,-15.37,-17.43,-37.77
1772488160871,-8.42,-36.90,-51.87
1772488160911,44.66,-23.13,19.83
1772488160953,49.64,-35.34,67.22
1772488160994,52.62,-42.67,95.65
1772488161038,49.18,-15.32,50.34
1772488161075,18.38,4.47,24.87
1772488161119,-0.09,16.34,9.59
1772488161157,-13.91,12.23,2.05
1772488161199,-22.20,9.77,-2.47
1772488161241,-12.80,-4.26,-11.31
1772488161282,19.89,-12.49,11.52
1772488161322,39.50,-17.43,25.21
1772488161363,46.14,-23.27,56.77
1772488161405,42.78,0.76,23.26
1772488161445,40.76,15.17,3.15
1772488161486,11.04,20.73,-4.30
1772488161527,-6.79,24.06,-8.77
1772488161570,-18.95,16.21,-10.23
1772488161608,-15.11,-2.39,-21.31
1772488161651,-12.81,-13.55,-27.96
1772488161690,24.39,-22.36,-16.88
1772488161732,64.75,-26.15,18.94
1772488161773,88.96,-28.43,40.44
1772488161814,70.33,5.19,5.05
1772488161856,59.14,25.36,-16.18
1772488161896,17.49,32.15,-24.92
1772488161938,-9.36,18.45,-22.00
1772488161977,-25.47,10.22,-20.25
1772488162020,-23.13,-4.89,-22.05
1772488162060,5.91,-10.87,-9.91
1772488162101,23.33,-14.46,-2.63
1772488162141,51.38,-22.14,42.88
1772488162183,68.21,-26.75,70.19
1772488162223,82.61,-13.11,43.19
1772488162265,42.15,12.12,11.88
1772488162306,17.87,27.26,-6.90
1772488162347,-5.27,20.10,-10.25
1772488162389,-13.19,5.32,-16.75
1772488162429,-17.95,-3.55,-20.65
1772488162470,19.78,-10.54,-5.27
1772488162511,42.42,-14.73,3.95
1772488162552,50.51,-18.27,31.61
1772488162592,35.25,4.96,10.94
1772488162637,26.10,18.89,-1.47
1772488162674,7.48,22.35,0.68
1772488162716,13.44,36.20,-10.47
1772488162756,17.01,44.51,-17.17
1772488162798,5.59,10.48,42.57
1772488162839,-1.26,-9.94,78.41
1772488162880,0.34,16.79,31.75
1772488162922,-15.83,23.48,12.86
1772488162962,-25.53,27.50,1.52
1772488163004,-179.31,18.67,-19.36
1772488163044,-271.58,11.89,-134.01
1772488163085,-326.95,7.81,-202.80
1772488163126,-212.75,6.43,-244.08
1772488163167,-144.23,5.59,-268.84
1772488163208,-88.79,-11.05,-186.44
1772488163249,-40.25,-10.61,-117.03
1772488163289,-11.13,-10.34,-75.39
1772488163331,-16.64,-9.12,-47.71
1772488163375,-14.41,-13.33,-32.45
1772488163412,-13.08,-15.86,-23.29
1772488163455,0.52,-4.36,-6.00
1772488163495,8.68,2.54,4.37
1772488163537,-1.88,-6.89,-5.00
1772488163577,-13.16,-3.16,-1.97
1772488163619,-19.93,-0.92,-0.15
1772488163659,-21.48,-8.45,-26.20
1772488163700,32.68,-6.21,-18.56
1772488163740,65.18,-4.86,-13.98
1772488163782,20.93,9.91,-17.32
1772488163822,-5.62,18.77,-19.32
1772488163864,-16.93,24.49,-14.47
1772488163907,24.10,15.45,-7.49
1772488163946,48.71,10.02,-3.30
1772488163987,53.60,19.46,-8.58
1772488164028,24.05,22.83,-1.62
1772488164070,6.32,24.85,2.55
1772488164110,-5.29,27.37,4.32
1772488164151,-12.26,28.89,5.38
1772488164191,27.77,13.25,11.00
1772488164233,39.50,25.65,-5.23
1772488164273,46.54,33.09,-14.96
1772488164315,16.15,30.10,-8.02
1772488164356,-9.22,31.69,-17.25
1772488164397,-24.44,32.64,-22.79
1772488164440,20.87,19.32,-18.35
1772488164479,48.05,11.33,-15.69
1772488164522,15.16,4.75,-32.34
1772488164561,-6.79,-0.69,-24.62
1772488164602,-19.96,-3.95,-19.98
1772488164643,-4.99,-10.09,-17.73
1772488164684,-2.34,-10.46,-13.73
1772488164724,-0.75,-10.69,-11.32
1772488164766,-9.03,-6.75,-4.54
1772488164807,-14.00,-4.39,-0.47
1772488164849,-16.21,-4.13,1.77
1772488164889,-6.52,-2.82,4.54
1772488164930,-0.71,-2.03,6.21
1772488164971,-1.37,-5.12,0.76
1772488165012,-10.60,-3.33,1.98
1772488165054,-16.14,-2.26,2.71
1772488165094,-2.70,-8.75,-14.32
1772488165136,5.37,-12.64,-24.54
1772488165176,19.08,2.55,8.96
1772488165216,-4.84,12.83,-11.59
1772488165257,-19.19,19.00,-23.92
1772488165298,-25.77,33.21,-31.36
1772488165340,-0.29,9.59,4.54
1772488165381,14.99,-4.59,26.09
1772488165422,16.67,9.97,18.60
1772488165462,17.68,18.70,14.11
1772488165507,5.16,24.26,13.22
1772488165544,13.53,26.00,12.51
1772488165587,18.56,27.05,12.09
1772488165627,19.79,5.17,22.12
1772488165668,15.04,28.76,5.69
1772488165708,12.20,42.92,-4.16
1772488165750,-7.88,37.05,-4.08
1772488165790,-19.92,33.53,-4.03
1772488165832,-29.15,29.60,-32.57
1772488165873,-33.23,16.91,-32.22
1772488165914,-35.68,9.30,-32.01
1772488165956,-34.35,0.04,-22.09
1772488165995,-17.26,-11.73,-16.34
1772488166038,-7.01,-18.79,-12.89
1772488166078,10.09,-4.08,8.72
1772488166120,20.35,4.74,21.69
1772488166160,15.38,18.11,53.52
1772488166201,18.03,2.96,92.66
1772488166241,19.62,-6.12,116.14
1772488166283,28.79,18.32,62.19
1772488166324,5.90,27.31,36.06
1772488166364,-7.84,32.70,20.38
1772488166407,-17.46,25.54,13.96
1772488166447,-23.24,21.24,10.10
1772488166490,-26.05,11.35,7.05
1772488166529,-18.65,-1.34,4.82
1772488166571,-14.20,-8.96,3.47
1772488166611,3.52,1.85,14.34
1772488166652,9.60,12.30,48.62
1772488166693,13.26,18.57,69.18
1772488166734,12.65,22.70,30.01
1772488166776,12.28,25.17,6.51
1772488166816,2.75,26.36,1.96
1772488166859,-8.42,22.39,3.64
1772488166897,-15.12,20.01,4.64
1772488166939,-18.13,14.32,6.63
1772488166980,-18.36,7.31,6.97
1772488167021,-18.50,3.10,7.17
1772488167062,-9.43,-1.06,8.64
1772488167104,-3.98,-3.55,9.53
1772488167144,8.38,2.95,21.73
1772488167185,24.01,2.74,43.99
1772488167226,33.39,2.62,57.35
1772488167266,24.44,18.07,34.09
1772488167307,7.68,21.27,24.39
1772488167348,-2.37,23.19,18.56
1772488167389,-11.13,19.83,15.03
1772488167430,-16.38,17.82,12.91
1772488167472,-21.03,11.99,8.70
1772488167513,-17.27,0.60,2.66
1772488167554,-15.01,-6.23,-0.96
1772488167594,13.47,-2.07,13.43
1772488167637,30.05,-6.89,38.93
1772488167677,40.00,-9.78,54.22
1772488167718,25.49,11.79,31.04
1772488167758,16.79,24.74,17.13
1772488167800,-0.32,26.00,11.39
1772488167840,-14.70,19.59,6.89
1772488167881,-23.33,15.74,4.18
1772488167923,-23.52,2.75,-2.01
1772488167965,6.07,-9.49,3.09
1772488168006,23.83,-16.83,6.16
