timestamp,x_uT,y_uT,z_uT
1772488097485,-83.42,-3.83,98.45
1772488097526,-83.28,-3.84,98.96
1772488097566,-84.08,-3.80,98.70
1772488097607,-84.55,-3.78,98.54
1772488097649,-86.04,-4.31,97.30
1772488097689,-90.49,-3.58,98.23
1772488097731,-93.17,-3.14,98.78
1772488097772,-96.55,-3.24,107.12
1772488097812,-98.58,-3.30,112.12
1772488097855,-83.36,-9.52,118.14
1772488097895,-43.83,-12.05,105.26
1772488097937,-20.12,-13.57,97.54
1772488097977,-49.99,-1.39,45.47
1772488098019,-27.41,5.41,17.87
1772488098058,-13.86,9.49,1.31
1772488098100,-41.15,4.01,14.88
1772488098140,-57.52,0.73,23.02
1772488098181,-36.66,-4.99,33.54
1772488098224,-43.59,7.40,5.77
1772488098263,-47.75,14.83,-10.89
1772488098305,-37.92,22.09,-23.14
1772488098345,-27.15,4.11,12.58
1772488098388,-20.68,-6.67,34.01
1772488098427,-44.81,7.95,-14.64
1772488098470,-59.28,16.72,-43.83
1772488098510,-72.55,15.01,-46.37
1772488098553,-42.54,8.41,1.78
1772488098592,-24.54,4.46,30.67
1772488098633,-35.78,-1.12,-0.40
1772488098674,-48.59,0.88,3.57
1772488098715,-56.28,2.08,5.95
1772488098755,-49.15,11.97,25.75
1772488098797,-44.87,17.90,37.62
1772488098838,-35.35,7.20,20.75
1772488098879,-30.26,13.84,27.52
1772488098921,-27.21,17.82,31.59
1772488098960,-23.56,9.27,19.82
1772488099001,-26.71,11.51,21.05
1772488099043,-28.61,12.86,21.78
1772488099085,-29.20,15.60,24.10
1772488099125,-29.55,17.24,25.49
1772488099166,-33.07,15.35,25.02
1772488099206,-21.51,16.47,31.64
1772488099248,-14.58,17.15,35.61
1772488099289,-29.54,7.15,20.19
1772488099330,-28.63,12.39,45.35
1772488099371,-28.09,15.54,60.45
1772488099412,-13.50,15.93,80.61
1772488099454,-4.75,16.17,92.70
1772488099494,-63.76,7.76,-66.77
1772488099535,-68.80,-15.46,-162.46
1772488099575,-71.82,-29.39,-219.87
1772488099617,-39.60,-25.06,-119.58
1772488099658,-63.25,-31.81,-49.04
1772488099699,-77.44,-35.86,-6.72
1772488099739,-82.57,-14.44,3.57
1772488099781,-85.65,-1.58,9.75
1772488099822,-52.66,-10.52,17.98
1772488099862,-63.63,4.91,13.86
1772488099905,-70.21,14.17,11.39
1772488099944,-76.34,26.13,4.19
1772488099986,-55.18,2.40,18.65
1772488100027,-42.49,-11.84,27.33
1772488100068,-64.58,7.90,14.45
1772488100109,-77.84,19.75,6.72
1772488100150,-62.52,52.64,-29.83
1772488100190,-38.96,6.37,14.89
1772488100232,-24.83,-21.39,41.72
1772488100273,-77.48,-31.09,71.33
1772488100314,-36.84,-13.47,-79.60
1772488100355,-12.47,-2.89,-170.15
1772488100395,-43.70,-9.52,-224.49
1772488100438,-62.43,-13.50,-257.09
1772488100478,-36.07,5.16,-65.47
1772488100519,-22.30,-23.20,-161.68
1772488100559,-14.03,-40.22,-219.40
1772488100601,-42.63,-45.23,-254.04
1772488100642,-23.36,-8.86,-274.82
1772488100684,-11.79,12.97,-287.29
1772488100723,-48.20,15.26,-160.44
1772488100765,-70.04,16.64,-84.33
1772488100805,-45.66,-3.73,-61.16
1772488100848,-53.61,14.95,-20.89
1772488100890,-58.38,26.16,3.28
1772488100928,-44.01,38.71,20.55
1772488100971,-39.71,12.60,8.47
1772488101010,-37.13,-3.07,1.22
1772488101052,-42.90,5.38,6.01
1772488101093,-46.35,10.46,8.88
1772488101134,-36.14,24.34,19.34
1772488101174,-40.70,13.50,11.98
1772488101217,-43.43,7.00,7.57
1772488101256,-44.24,15.58,14.80
1772488101298,-31.09,24.76,26.48
1772488101340,-23.20,30.26,33.49
1772488101380,-19.59,38.15,39.13
1772488101422,-17.42,42.88,42.51
